area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft,total_sqft_num,bhk
Built-up  Area,Ready To Move,Hormavu,3 BHK,1604,3.0,0.0,81.85,5103.0,1604.0,3.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732,4.0,3.0,213.53,7816.0,2732.0,4.0
Super built-up  Area,18-Dec,Chandapura,2 BHK,1015,2.0,2.0,57.89,5703.0,1015.0,2.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1200,2.0,2.0,98.68,8223.0,1200.0,3.0
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,1010,2.0,2.0,28.64,2836.0,1010.0,2.0
Built-up  Area,Ready To Move,Nagarbhavi,2 Bedroom,1250,3.0,0.0,99.79,7983.0,1250.0,2.0
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010,2.0,1.0,42.57,4215.0,1010.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1050,2.0,2.0,85.5,8143.0,1050.0,2.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1710,3.0,2.0,164.16,9600.0,1710.0,3.0
Super built-up  Area,19-Jan,Mysore Road,3 BHK,1248.52,3.0,2.0,61.38,4916.0,1248.52,3.0
Built-up  Area,Ready To Move,Attibele,1 BHK,410,1.0,1.0,22.55,5501.0,410.0,1.0
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,1656,2.0,1.0,146.94,8873.0,1656.0,3.0
Super built-up  Area,Ready To Move,Naganathapura,3 BHK,1451,3.0,1.0,70.08,4830.0,1451.0,3.0
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1250,2.0,2.0,109.91,8793.0,1250.0,2.0
Plot  Area,Ready To Move,Meenakunte,3 Bedroom,4395,3.0,3.0,283.74,6456.0,4395.0,3.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,4600,6.0,2.0,506.78,11017.0,4600.0,4.0
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,1340,2.0,3.0,69.95,5220.0,1340.0,3.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2.0,2.0,39.7,3609.0,1100.0,2.0
Super built-up  Area,Ready To Move,Whitefield,4 BHK,6000,6.0,,584.1,9735.0,6000.0,4.0
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,1700,3.0,1.0,77.71,4571.0,1700.0,3.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1096,2.0,1.0,75.17,6859.0,1096.0,2.0
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,1160,2.0,1.0,32.57,2808.0,1160.0,2.0
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,1936,3.0,2.0,116.51,6018.0,1936.0,3.0
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,1269,2.0,2.0,62.7,4941.0,1269.0,3.0
Super built-up  Area,19-Dec,Richmond Road,3 BHK,3500,3.0,1.0,636.72,18192.0,3500.0,3.0
Super built-up  Area,18-May,Panathur,3 BHK,1586,3.0,1.0,150.75,9505.0,1586.0,3.0
Super built-up  Area,18-Jul,Rajaji Nagar,2 BHK,1376,2.0,1.0,187.59,13633.0,1376.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1452,3.0,3.0,76.19,5247.0,1452.0,3.0
Super built-up  Area,18-Aug,Hosa Road,3 BHK,1538,3.0,1.0,79.15,5146.0,1538.0,3.0
Super built-up  Area,18-May,Hosur Road,3 BHK,1427,2.0,1.0,110.42,7738.0,1427.0,3.0
Built-up  Area,Ready To Move,Upadhyaya Layout,2 BHK,935,2.0,0.0,42.39,4534.0,935.0,2.0
Built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,1220,2.0,3.0,63.45,5201.0,1220.0,2.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1197,2.0,1.0,116.32,9718.0,1197.0,2.0
Super built-up  Area,18-Dec,Varthur,2 BHK,674,1.0,1.0,59.68,8855.0,674.0,2.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,410,1.0,1.0,23.35,5695.0,410.0,1.0
Built-up  Area,18-Apr,Thanisandra,3 BHK,1573,3.0,1.0,132.43,8419.0,1573.0,3.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1135,2.0,2.0,51.13,4505.0,1135.0,2.0
Built-up  Area,18-Dec,Huskur,3 BHK,1400,2.0,1.0,41.22,2944.0,1400.0,3.0
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,1200,1.0,0.0,100.96,8413.0,1200.0,1.0
Plot  Area,Ready To Move,Ittamadu,3 Bedroom,1800,3.0,0.0,96.86,5381.0,1800.0,3.0
Built-up  Area,Ready To Move,Avalahalli,3 BHK,2045,3.0,2.0,110.49,5403.0,2045.0,3.0
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1268,2.0,1.0,62.2,4905.0,1268.0,2.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,38.46,4356.0,883.0,2.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,3.0,3.0,135.52,8470.0,1600.0,3.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1056,2.0,2.0,85.11,8060.0,1056.0,2.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4500,4.0,,442.98,9844.0,4500.0,4.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1204,2.0,2.0,87.66,7281.0,1204.0,2.0
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1410,2.0,1.0,56.7,4021.0,1410.0,3.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1460,2.0,1.0,84.72,5803.0,1460.0,2.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2.0,1.0,49.68,4516.0,1100.0,2.0
Super built-up  Area,Ready To Move,Govindapura,2 BHK,1310,2.0,1.0,71.19,5434.0,1310.0,2.0
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1600,3.0,2.0,101.95,6372.0,1600.0,3.0
Super built-up  Area,Ready To Move,Lottegolla Halli,2 BHK,1250,2.0,2.0,58.22,4658.0,1250.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1665,3.0,2.0,99.75,5991.0,1665.0,3.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1345,2.0,1.0,55.36,4116.0,1345.0,3.0
Built-up  Area,Ready To Move,Hosahalli Extension,5 Bedroom,2000,5.0,2.0,195.94,9797.0,2000.0,5.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1416,2.0,2.0,66.42,4691.0,1416.0,2.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1145,2.0,2.0,127.06,11097.0,1145.0,2.0
Built-up  Area,Ready To Move,Munnekollal,10 Bedroom,7200,10.0,3.0,399.38,5547.0,7200.0,10.0
Built-up  Area,Ready To Move,Jigani,3 BHK,1231,3.0,2.0,69.85,5674.0,1231.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1664,3.0,0.0,138.41,8318.0,1664.0,3.0
Built-up  Area,Ready To Move,TC Palaya,3 Bedroom,2000,3.0,1.0,111.74,5587.0,2000.0,3.0
Built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,972,2.0,2.0,60.88,6263.0,972.0,2.0
Built-up  Area,Ready To Move,3rd Phase JP Nagar,4 BHK,4500,4.0,3.0,351.45,7810.0,4500.0,4.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1185,2.0,1.0,124.4,10498.0,1185.0,2.0
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1750,3.0,2.0,116.92,6681.0,1750.0,3.0
Built-up  Area,Ready To Move,Byadarahalli,3 BHK,3155,4.0,,403.15,12778.0,3155.0,3.0
Super built-up  Area,18-Dec,Balagere,2 BHK,1007,2.0,1.0,62.51,6208.0,1007.0,2.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1700,3.0,2.0,244.31,14371.0,1700.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1250,2.0,2.0,112.1,8968.0,1250.0,2.0
Super built-up  Area,Ready To Move,Telecom Layout,2 BHK,1200,2.0,1.0,52.73,4394.0,1200.0,2.0
Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,994,2.0,1.0,40.73,4098.0,994.0,2.0
Super built-up  Area,18-Apr,Ramamurthy Nagar,2 BHK,1150,2.0,2.0,58.26,5066.0,1150.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1220,2.0,2.0,97.93,8027.0,1220.0,2.0
Super built-up  Area,Ready To Move,Hennur Gardens,2 BHK,1441,2.0,1.0,114.98,7979.0,1441.0,2.0
Super built-up  Area,19-Mar,Old Madras Road,2 BHK,1157,2.0,2.0,68.9,5955.0,1157.0,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1400,2.0,2.0,101.93,7281.0,1400.0,2.0
Built-up  Area,Ready To Move,Tindlu,3 BHK,1370.07,3.0,1.0,74.12,5410.0,1370.07,3.0
Super built-up  Area,20-Dec,Judicial Layout,2 BHK,900,2.0,1.0,70.38,7820.0,900.0,2.0
Super built-up  Area,Ready To Move,Kodipalya,1 BHK,418,1.0,1.0,19.92,4766.0,418.0,1.0
Plot  Area,Ready To Move,Vishwapriya Nagar,3 Bedroom,1200,3.0,1.0,65.66,5472.0,1200.0,3.0
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,1200,2.0,3.0,71.33,5944.0,1200.0,2.0
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1062,2.0,1.0,64.64,6087.0,1062.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1120,2.0,1.0,55.45,4951.0,1120.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1012,2.0,1.0,90.6,8953.0,1012.0,2.0
Plot  Area,Ready To Move,Postal Colony,3 Bedroom,1500,2.0,1.0,226.68,15112.0,1500.0,3.0
Super built-up  Area,Ready To Move,Kadabagere,2 BHK,675,2.0,2.0,24.87,3685.0,675.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1430,2.0,2.0,72.57,5075.0,1430.0,2.0
Super built-up  Area,Ready To Move,Channasandra,3 BHK,1195,2.0,1.0,43.51,3641.0,1195.0,3.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2640,5.0,1.0,155.52,5891.0,2640.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,42.48,3952.0,1075.0,3.0
Super built-up  Area,18-Sep,Hennur Road,3 BHK,1550 - 1590,3.0,0.0,97.21,6192.0,1570.0,3.0
Built-up  Area,18-Feb,Sonnenahalli,2 BHK,1011,2.0,1.0,51.04,5048.0,1011.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2.0,1.0,99.15,6838.0,1450.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1129,2.0,1.0,66.41,5882.0,1129.0,2.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,1126,2.0,1.0,39.68,3524.0,1126.0,2.0
Plot  Area,18-Dec,Attibele,3 Bedroom,1200,3.0,,69.66,5805.0,1200.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1180,2.0,2.0,67.43,5714.0,1180.0,3.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1933,3.0,2.0,119.07,6160.0,1933.0,3.0
Built-up  Area,Ready To Move,TC Palaya,2 BHK,1082,2.0,2.0,60.4,5582.0,1082.0,2.0
Plot  Area,Ready To Move,LB Shastri Nagar,8 Bedroom,2400,8.0,1.0,139.03,5793.0,2400.0,8.0
Super built-up  Area,19-Dec,Anwar Layout,1 BHK,610,1.0,0.0,25.63,4201.0,610.0,1.0
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,1560,4.0,1.0,65.61,4206.0,1560.0,4.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1300,3.0,3.0,79.18,6091.0,1300.0,3.0
Built-up  Area,Ready To Move,Kudlu Gate,4 Bedroom,3850,6.0,0.0,336.1,8730.0,3850.0,4.0
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1125,2.0,1.0,54.89,4879.0,1125.0,2.0
Plot  Area,Ready To Move,Bileshivale,6 Bedroom,2400,7.0,2.0,129.31,5388.0,2400.0,6.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,777.4,2.0,0.0,31.71,4079.0,777.4,2.0
Super built-up  Area,Ready To Move,Battarahalli,4 BHK,2500,3.0,1.0,136.85,5474.0,2500.0,4.0
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,1798,3.0,,138.55,7706.0,1798.0,3.0
Built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,1864,3.0,2.0,111.32,5972.0,1864.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1115,2.0,1.0,101.73,9124.0,1115.0,2.0
Super built-up  Area,Ready To Move,Kengeri,1 BHK,400,1.0,1.0,23.75,5938.0,400.0,1.0
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1200,2.0,1.0,163.16,13597.0,1200.0,2.0
Super built-up  Area,18-May,Ananth Nagar,2 BHK,992,2.0,2.0,27.18,2740.0,992.0,2.0
Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,950,2.0,3.0,57.17,6018.0,950.0,2.0
Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,1500,4.0,3.0,99.76,6651.0,1500.0,4.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1200,2.0,1.0,124.03,10336.0,1200.0,2.0
Built-up  Area,Ready To Move,GM Palaya,3 BHK,1735,3.0,2.0,79.62,4589.0,1735.0,3.0
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,1750,3.0,3.0,121.28,6930.0,1750.0,3.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1009,2.0,2.0,103.92,10299.0,1009.0,2.0
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,1470,2.0,3.0,94.33,6417.0,1470.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1527,3.0,2.0,147.65,9669.0,1527.0,3.0
Built-up  Area,Ready To Move,Singapura Village,2 BHK,985,2.0,1.0,42.24,4288.0,985.0,2.0
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,3300,4.0,2.0,209.02,6334.0,3300.0,4.0
Super built-up  Area,18-Jun,Whitefield,2 BHK,1277,2.0,1.0,113.54,8891.0,1277.0,2.0
Super built-up  Area,18-May,Nallurhalli,2 BHK,1100,2.0,1.0,59.32,5393.0,1100.0,2.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1820,3.0,2.0,169.99,9340.0,1820.0,3.0
Super built-up  Area,Ready To Move,Puttanahalli,4 BHK,1530,3.0,3.0,71.94,4702.0,1530.0,4.0
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1886,3.0,2.0,164.61,8728.0,1886.0,3.0
Plot  Area,Ready To Move,Chandra Layout,3 Bedroom,1200,2.0,0.0,102.86,8572.0,1200.0,3.0
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1880,4.0,2.0,121.47,6461.0,1880.0,3.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2.0,2.0,97.39,7760.0,1255.0,2.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,36.08,5155.0,700.0,2.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1140,2.0,2.0,58.41,5124.0,1140.0,2.0
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1025,2.0,1.0,29.49,2877.0,1025.0,2.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,3453,4.0,2.0,316.88,9177.0,3453.0,4.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1490,2.0,2.0,59.05,3963.0,1490.0,3.0
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,1200,4.0,2.0,52.64,4387.0,1200.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1850,3.0,2.0,109.45,5916.0,1850.0,3.0
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,1250,2.0,1.0,79.85,6388.0,1250.0,2.0
Super built-up  Area,Ready To Move,Kamakya Layout,4 BHK,2400,3.0,1.0,181.56,7565.0,2400.0,4.0
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3522,5.0,3.0,384.36,10913.0,3522.0,4.0
Super built-up  Area,18-Dec,Jalahalli,2 BHK,1244,2.0,2.0,80.1,6439.0,1244.0,2.0
Super built-up  Area,18-Dec,Kengeri Satellite Town,2 BHK,1025,2.0,1.0,40.93,3993.0,1025.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1034,2.0,1.0,59.23,5728.0,1034.0,2.0
Super built-up  Area,18-Jan,Kengeri Satellite Town,3 BHK,1191,2.0,2.0,47.03,3949.0,1191.0,3.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1719,3.0,2.0,98.74,5744.0,1719.0,3.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2.0,1.0,71.09,6869.0,1035.0,2.0
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500,3.0,2.0,231.78,15452.0,1500.0,4.0
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1470,2.0,2.0,72.97,4964.0,1470.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1140,2.0,1.0,84.83,7441.0,1140.0,2.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1752.12,3.0,2.0,168.61,9623.0,1752.12,3.0
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2990,3.0,2.0,175.21,5860.0,2990.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1660,3.0,2.0,161.95,9756.0,1660.0,3.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1275,3.0,3.0,76.04,5964.0,1275.0,3.0
Super built-up  Area,18-Jun,Bommasandra Industrial Area,3 BHK,1365,3.0,1.0,41.43,3035.0,1365.0,3.0
Plot  Area,Ready To Move,"MEI layout, Bagalgunte",3 Bedroom,1200,2.0,0.0,94.72,7893.0,1200.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2546,3.0,,128.32,5040.0,2546.0,3.0
Super built-up  Area,20-Oct,Banashankari Stage VI,3 BHK,1392,3.0,1.0,71.47,5134.0,1392.0,3.0
Super built-up  Area,18-Mar,Whitefield,2 BHK,1245,2.0,1.0,112.52,9038.0,1245.0,2.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1162,2.0,2.0,61.34,5279.0,1162.0,2.0
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1476,2.0,1.0,70.2,4756.0,1476.0,3.0
Built-up  Area,Ready To Move,KR Puram,1 BHK,700,1.0,1.0,49.36,7051.0,700.0,1.0
Built-up  Area,Ready To Move,Gnana Bharathi,6 Bedroom,3600,6.0,1.0,180.4,5011.0,3600.0,6.0
Built-up  Area,Ready To Move,Jigani,2 BHK,943,2.0,2.0,49.96,5298.0,943.0,2.0
Plot  Area,Ready To Move,Pai Layout,2 Bedroom,1150,2.0,1.0,49.67,4319.0,1150.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1113,2.0,1.0,64.5,5795.0,1113.0,2.0
Super built-up  Area,20-Dec,Varthur,3 BHK,1615,3.0,2.0,153.22,9487.0,1615.0,3.0
Super built-up  Area,Ready To Move,Keshava Nagar,2 BHK,1279,2.0,3.0,103.62,8102.0,1279.0,2.0
Super built-up  Area,Ready To Move,Kacharakanahalli,2 BHK,1256,2.0,1.0,63.75,5076.0,1256.0,2.0
Built-up  Area,Ready To Move,Benson Town,3 BHK,1805,3.0,2.0,281.71,15607.0,1805.0,3.0
Built-up  Area,Ready To Move,Sompura,3 BHK,1350,3.0,1.0,55.57,4116.0,1350.0,3.0
Super built-up  Area,18-May,SRINIVASAPURA,3 BHK,1525,3.0,2.0,68.91,4519.0,1525.0,3.0
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,1357,2.0,1.0,181.85,13401.0,1357.0,2.0
Super built-up  Area,19-Mar,Hebbal,3 BHK,1645,3.0,2.0,167.81,10201.0,1645.0,3.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1777.26,3.0,2.0,104.82,5898.0,1777.26,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845,2.0,2.0,31.26,3700.0,845.0,2.0
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,900,2.0,0.0,32.73,3637.0,900.0,2.0
Super built-up  Area,18-Sep,Varthur,2 BHK,1210,2.0,1.0,113.11,9348.0,1210.0,2.0
Super built-up  Area,19-Aug,Electronic City Phase II,2 BHK,829,2.0,1.0,25.04,3021.0,829.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1879,3.0,2.0,108.02,5749.0,1879.0,3.0
Super built-up  Area,17-Jun,Hosur Road,3 BHK,1250,2.0,2.0,99.58,7966.0,1250.0,3.0
Built-up  Area,Ready To Move,Jeevanhalli,4 Bedroom,1200,2.0,2.0,36.73,3061.0,1200.0,4.0
Super built-up  Area,19-Mar,Marathahalli,3 BHK,1108,2.0,1.0,101.25,9138.0,1108.0,3.0
Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,1401,3.0,2.0,73.12,5219.0,1401.0,3.0
Super built-up  Area,19-Oct,Sarjapur  Road,3 BHK,1157,2.0,1.0,68.42,5914.0,1157.0,3.0
Built-up  Area,Ready To Move,Ramamurthy Nagar Extension,2 BHK,1185,2.0,1.0,44.06,3718.0,1185.0,2.0
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1751,3.0,2.0,114.87,6560.0,1751.0,3.0
Plot  Area,Ready To Move,Mahalakshmi Puram,5 Bedroom,1550,3.0,1.0,259.49,16741.0,1550.0,5.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1880,3.0,2.0,172.41,9171.0,1880.0,3.0
Super built-up  Area,20-Dec,Whitefield,3 BHK,1235 - 1410,3.0,0.0,122.25,9244.0,1322.5,3.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1175,2.0,2.0,43.36,3690.0,1175.0,2.0
Built-up  Area,Ready To Move,Jalahalli,2 BHK,1407,2.0,1.0,90.74,6449.0,1407.0,2.0
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,1000,2.0,2.0,56.83,5683.0,1000.0,2.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1518,3.0,3.0,95.03,6260.0,1518.0,3.0
Plot  Area,Ready To Move,"Gubbi Cross, Hennur Main Road",4 Bedroom,3600,4.0,2.0,317.2,8811.0,3600.0,4.0
Super built-up  Area,18-May,Tumkur Road,2 BHK,1027,2.0,1.0,64.59,6289.0,1027.0,2.0
Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,3730,6.0,2.0,455.28,12206.0,3730.0,4.0
Built-up  Area,Ready To Move,HSR Layout,2 BHK,1145,2.0,2.0,131.01,11442.0,1145.0,2.0
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,1260,2.0,2.0,172.51,13691.0,1260.0,2.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,1500,2.0,3.0,108.72,7248.0,1500.0,3.0
Super built-up  Area,Ready To Move,Varthur,3 BHK,1737,2.0,1.0,162.7,9367.0,1737.0,3.0
Super built-up  Area,18-Dec,Hennur,4 BHK,3484 - 3550,,,287.3,8169.0,3517.0,4.0
Plot  Area,Ready To Move,Byrathi Village,3 Bedroom,1600,4.0,1.0,121.39,7587.0,1600.0,3.0
Built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1500,3.0,2.0,107.49,7166.0,1500.0,3.0
Plot  Area,Ready To Move,Sabari Nagar,2 Bedroom,1120,2.0,0.0,60.52,5404.0,1120.0,2.0
Plot  Area,Ready To Move,Banashankari Stage V,3 Bedroom,1200,4.0,1.0,44.05,3671.0,1200.0,3.0
Super built-up  Area,18-Dec,Hennur Road,2 BHK,1030,2.0,1.0,60.46,5870.0,1030.0,2.0
Built-up  Area,Ready To Move,Gubbalala,6 Bedroom,2500,6.0,1.0,159.07,6363.0,2500.0,6.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,1057,2.0,1.0,32.96,3118.0,1057.0,2.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,2774,4.0,3.0,208.11,7502.0,2774.0,4.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1460,2.0,2.0,122.52,8392.0,1460.0,2.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1075,2.0,1.0,52.9,4921.0,1075.0,2.0
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1080,2.0,1.0,54.13,5012.0,1080.0,3.0
Super built-up  Area,19-Dec,Kodihalli,4 BHK,3626,5.0,3.0,392.44,10823.0,3626.0,4.0
Super built-up  Area,Ready To Move,Ashraya Layout,6 BHK,5100,7.0,,263.21,5161.0,5100.0,6.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1139.7,2.0,1.0,54.65,4795.0,1139.7,2.0
Super built-up  Area,18-Jun,Whitefield,2 BHK,1074,2.0,1.0,92.43,8606.0,1074.0,2.0
Plot  Area,18-Jul,Whitefield,2 Bedroom,1200,2.0,1.0,107.24,8937.0,1200.0,2.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,2425,5.0,1.0,161.82,6673.0,2425.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1323,2.0,2.0,75.4,5699.0,1323.0,2.0
Super built-up  Area,18-Aug,Hennur Road,2 BHK,1232,2.0,1.0,70.98,5761.0,1232.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,900,2.0,1.0,43.64,4849.0,900.0,2.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1 BHK,740,1.0,1.0,25.66,3468.0,740.0,1.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,1920,3.0,2.0,202.83,10564.0,1920.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1550,3.0,2.0,149.78,9663.0,1550.0,3.0
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1588,2.0,3.0,68.46,4311.0,1588.0,3.0
Built-up  Area,Ready To Move,Rajaji Nagar,3 Bedroom,2300,4.0,1.0,343.25,14924.0,2300.0,3.0
Built-up  Area,Ready To Move,R.T. Nagar,9 Bedroom,3600,8.0,2.0,257.15,7143.0,3600.0,9.0
Built-up  Area,Ready To Move,"Thanisandra Main Road, ",2 BHK,1308,2.0,1.0,84.21,6438.0,1308.0,2.0
Super built-up  Area,Ready To Move,Hennur,3 BHK,1340,2.0,2.0,110.28,8230.0,1340.0,3.0
Plot  Area,Ready To Move,Kogilu,10 Bedroom,3280,9.0,3.0,172.17,5249.0,3280.0,10.0
Built-up  Area,Ready To Move,Infantry Road,4 BHK,2170,3.0,2.0,336.11,15489.0,2170.0,4.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1719,3.0,2.0,139.02,8087.0,1719.0,3.0
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1107.83,2.0,1.0,46.84,4228.0,1107.83,2.0
Plot  Area,18-Jul,Whitefield,2 Bedroom,1200,2.0,1.0,102.56,8547.0,1200.0,2.0
