area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1107,2.0,1.0,57.0,8413
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,1720,3.0,2.0,106.0,14230
Super built-up  Area,Ready To Move,Kuvempu Nagar,3 BHK,1540,3.0,2.0,150.0,8892
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1000,2.0,1.0,44.5,9791
Super built-up  Area,21-Dec,Electronic City,1 BHK,710,1.0,1.0,40.42,6558
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1100,2.0,1.0,38.0,7385
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,4 Bedroom,3200,4.0,0.0,270.0,5256
Plot  Area,Ready To Move,Domlur Layout,2 Bedroom,900,2.0,2.0,160.0,7636
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1250,2.0,0.0,48.0,9791
Built-up  Area,Ready To Move,Kaggadasapura,5 Bedroom,2400,4.0,3.0,130.0,9592
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1584.01,3.0,1.0,104.0,10235
Plot  Area,Ready To Move,Vasanth nagar,4 Bedroom,875,4.0,0.0,150.0,11404
Plot  Area,Ready To Move,Kammasandra,4 Bedroom,1200,6.0,3.0,60.0,10938
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1485,2.0,2.0,70.0,9592
Built-up  Area,Ready To Move,Hennur Road,3 BHK,1100,2.0,1.0,78.0,11099
Super built-up  Area,18-Mar,8th Phase JP Nagar,2 BHK,1245,2.0,1.0,59.0,12684
Built-up  Area,19-Dec,Hennur Road,4 Bedroom,1880,4.0,0.0,154.0,11099
Super built-up  Area,20-Jul,Frazer Town,3 BHK,2214,3.0,3.0,350.0,6838
Built-up  Area,18-Jun,Anathanagar,2 BHK,1050,2.0,2.0,45.0,14093
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,600,4.0,2.0,95.0,4064
Super built-up  Area,19-Jul,Bannerghatta Road,3 BHK,1640,3.0,2.0,105.0,9791
Super built-up  Area,Ready To Move,Basavanapura,2 BHK,1165,2.0,1.0,65.0,6568
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,1110,2.0,1.0,43.0,12006
Super built-up  Area,Ready To Move,vinayakanagar,7 BHK,1200,5.0,2.0,200.0,10305
Built-up  Area,Ready To Move,St. John's Road,4 BHK,4000,4.0,2.0,630.0,13409
Built-up  Area,Ready To Move,Uttarahalli,4 Bedroom,4500,4.0,0.0,150.0,9390
Plot  Area,Ready To Move,Jaraganahalli Jp Nagar Post,4 Bedroom,600,4.0,3.0,65.0,7451
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1300,2.0,2.0,75.0,9486
Plot  Area,Ready To Move,adigondanhalli,2 Bedroom,1200,1.0,0.0,42.0,4054
Plot  Area,Immediate Possession,Yelahanka,,1200 - 1800,,,12.75,6047
Super built-up  Area,18-Aug,Hennur Road,2 BHK,1232,2.0,1.0,69.61,11099
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,1704,3.0,2.0,94.36,8218
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1275,2.0,2.0,88.0,5685
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1222,2.0,1.0,68.0,5899
Super built-up  Area,Ready To Move,Varthur,2 BHK,1155,2.0,2.0,39.0,14233
Super built-up  Area,18-Apr,Electronic City,2 BHK,1000,2.0,1.0,29.95,6558
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1200,2.0,1.0,45.0,10971
Super built-up  Area,19-Dec,Yelahanka,3 BHK,1517,3.0,2.0,71.28,6047
Super built-up  Area,18-May,Horamavu Agara,2 BHK,1166,2.0,1.0,37.29,7157
Built-up  Area,Ready To Move,Electronic City,2 BHK,870,2.0,2.0,24.0,6558
Super built-up  Area,Ready To Move,5th Phase JP Nagar,5 BHK,4000,5.0,2.0,170.0,9535
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,1350,4.0,1.0,230.0,8426
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,3019,6.0,,190.0,6047
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1345,3.0,1.0,58.0,10265
Plot  Area,Ready To Move,Dommasandra,3 Bedroom,900,3.0,1.0,75.0,4863
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,3800,5.0,2.0,170.0,7943
Super built-up  Area,Ready To Move,Chandapura,3 BHK,971,2.0,2.0,38.0,4161
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2.0,1.0,52.32,13925
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,1810,2.0,2.0,65.0,7943
Built-up  Area,Ready To Move,"Whitefield, ",2 BHK,1300,2.0,1.0,58.0,10882
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1185,2.0,2.0,45.0,7385
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,1350,2.0,3.0,68.0,13762
Super built-up  Area,20-Jun,Budigere,3 BHK,1510 - 1670,3.0,0.0,76.16,6790
Super built-up  Area,Ready To Move,Thyagaraja Nagar,7 BHK,3000,6.0,3.0,180.0,14150
Plot  Area,Ready To Move,Brookefield,4 Bedroom,1560,3.0,2.0,149.0,11098
Super built-up  Area,Ready To Move,Somasundara Palya,3 BHK,1650,3.0,,126.0,7581
Super built-up  Area,Ready To Move,Off Bannergatta Road,3 BHK,1645,3.0,2.0,87.0,11643
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1748,3.0,,103.0,11099
Plot  Area,18-Nov,Channasandra,3 Bedroom,1200,3.0,1.0,67.77,8142
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,1170,2.0,3.0,50.0,12006
Built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,3420,4.0,2.0,225.0,5899
Built-up  Area,Ready To Move,Hulimavu,3 BHK,1320,2.0,2.0,65.0,9258
Super built-up  Area,18-Jul,Bhoganhalli,3 BHK,1610,3.0,2.0,84.53,9393
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,1870,3.0,3.0,180.0,6838
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1510,2.0,1.0,110.0,5899
Built-up  Area,Ready To Move,Kammagondahalli,6 Bedroom,2700,7.0,3.0,110.0,9182
Super built-up  Area,Ready To Move,Kanakapura  Rod,3 BHK,1305,2.0,1.0,45.68,14015
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1500,2.0,1.0,70.0,12958
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,1149,2.0,1.0,130.0,8893
Built-up  Area,Ready To Move,Thanisandra,4 BHK,1948,4.0,2.0,129.0,7385
Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,1448,3.0,1.0,70.0,8555
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1242,2.0,1.0,78.0,5899
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1268,2.0,1.0,58.0,13435
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1101,2.0,1.0,50.0,10439
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,1255,2.0,3.0,65.0,12306
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1362,3.0,1.0,62.63,6612
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,984,3.0,2.0,140.0,5899
Super built-up  Area,18-May,Hosa Road,2 BHK,1089,2.0,1.0,32.67,4391
Built-up  Area,Ready To Move,Byrathi Village,2 BHK,800,1.0,3.0,95.0,11683
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1345,2.0,1.0,57.0,9390
Plot  Area,Ready To Move,Thanisandra,8 Bedroom,3600,9.0,3.0,125.0,7385
Plot  Area,Ready To Move,Krishna Nagar,4 Bedroom,1650,2.0,1.0,140.0,6891
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,950,2.0,1.0,45.0,7763
Super built-up  Area,Ready To Move,HBR Layout,2 BHK,1068,2.0,1.0,43.0,5895
Built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,860,1.0,2.0,31.0,7863
Built-up  Area,Ready To Move,Kengeri,8 Bedroom,3000,5.0,,130.0,5184
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1756,3.0,2.0,66.73,6047
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1205,2.0,1.0,41.0,10265
Plot  Area,Ready To Move,Hoodi,8 Bedroom,1120,8.0,,155.0,4659
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1800,3.0,2.0,125.0,6961
Super built-up  Area,18-Jan,Ashok Nagar,4 BHK,8321,5.0,2.0,2912.0,7432
Built-up  Area,Ready To Move,Hormavu,3 BHK,1604,3.0,0.0,68.0,8887
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732,4.0,3.0,204.0,4466
Super built-up  Area,18-Dec,Chandapura,2 BHK,1015,2.0,2.0,25.88,4161
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1200,2.0,2.0,42.0,6961
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,1010,2.0,2.0,38.0,9315
Built-up  Area,Ready To Move,Nagarbhavi,2 Bedroom,1250,3.0,0.0,170.0,11629
Super built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1010,2.0,1.0,41.0,5664
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1050,2.0,2.0,33.1,6047
Super built-up  Area,Ready To Move,Harlur,3 BHK,1710,3.0,2.0,85.0,12164
Super built-up  Area,19-Jan,Mysore Road,3 BHK,1248.52,3.0,2.0,115.0,10949
Built-up  Area,Ready To Move,Attibele,1 BHK,410,1.0,1.0,10.0,10278
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,1656,2.0,1.0,62.93,9791
Super built-up  Area,Ready To Move,Naganathapura,3 BHK,1451,3.0,1.0,68.0,12716
Super built-up  Area,Ready To Move,Giri Nagar,6 BHK,1200,3.0,0.0,175.0,13474
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,1250,2.0,2.0,93.0,8413
Plot  Area,Ready To Move,Meenakunte,3 Bedroom,4395,3.0,3.0,240.0,7242
Super built-up  Area,Ready To Move,Hebbal,4 BHK,4600,6.0,2.0,650.0,6747
Built-up  Area,Ready To Move,Sonnenahalli,3 BHK,1340,2.0,3.0,42.0,13435
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1100,2.0,2.0,38.5,9726
Super built-up  Area,Ready To Move,Whitefield,4 BHK,6000,6.0,,700.0,10265
Super built-up  Area,Ready To Move, Devarachikkanahalli,3 BHK,1700,3.0,1.0,71.0,6695
Plot  Area,Ready To Move,Yelahanka,6 Bedroom,1200,5.0,0.0,150.0,6047
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1096,2.0,1.0,43.0,7556
Super built-up  Area,18-May,Electronic City Phase II,2 BHK,1160,2.0,1.0,33.5,11270
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,1936,3.0,2.0,139.0,14262
Super built-up  Area,Ready To Move,Nehru Nagar,3 BHK,1269,2.0,2.0,63.0,13492
Super built-up  Area,19-Dec,Richmond Road,3 BHK,3500,3.0,1.0,630.0,7462
Super built-up  Area,18-May,Panathur,3 BHK,1586,3.0,1.0,125.0,11385
Super built-up  Area,18-Jul,Rajaji Nagar,2 BHK,1376,2.0,1.0,124.0,8426
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1452,3.0,3.0,56.5,13998
Super built-up  Area,18-Aug,Hosa Road,3 BHK,1538,3.0,1.0,107.0,4391
Super built-up  Area,18-May,Hosur Road,3 BHK,1427,2.0,1.0,130.0,11125
Built-up  Area,Ready To Move,Upadhyaya Layout,2 BHK,935,2.0,0.0,40.0,9765
Built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,1220,2.0,3.0,65.0,10892
Super built-up  Area,Ready To Move,Harlur,2 BHK,1197,2.0,1.0,77.0,12164
Super built-up  Area,18-Dec,Varthur,2 BHK,674,1.0,1.0,19.9,14233
Built-up  Area,Ready To Move,Kengeri,1 BHK,410,1.0,1.0,15.0,5184
Built-up  Area,18-Apr,Thanisandra,3 BHK,1573,3.0,1.0,90.0,7385
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1135,2.0,2.0,58.0,11777
Built-up  Area,18-Dec,Huskur,3 BHK,1400,2.0,1.0,40.43,4225
Super built-up  Area,Ready To Move,Agrahara Dasarahalli,1 BHK,1200,1.0,0.0,65.0,6243
Plot  Area,Ready To Move,Ittamadu,3 Bedroom,1800,3.0,0.0,95.0,13888
Built-up  Area,Ready To Move,Avalahalli,3 BHK,2045,3.0,2.0,108.0,13435
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,1268,2.0,1.0,56.0,13435
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,39.0,11400
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600,3.0,3.0,100.0,6047
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1056,2.0,2.0,70.0,7385
Plot  Area,Ready To Move,Jigani,10 Bedroom,1200,11.0,,105.0,9450
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4500,4.0,,330.0,10265
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1204,2.0,2.0,58.0,7556
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1410,2.0,1.0,54.0,14470
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1460,2.0,1.0,80.3,11099
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,1100,2.0,1.0,41.18,11777
Super built-up  Area,Ready To Move,Govindapura,2 BHK,1310,2.0,1.0,88.0,5759
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,1600,3.0,2.0,90.0,4698
Super built-up  Area,Ready To Move,Lottegolla Halli,2 BHK,1250,2.0,2.0,55.0,8849
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1665,3.0,2.0,74.93,5899
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1345,2.0,1.0,57.0,9390
Built-up  Area,Ready To Move,Hosahalli Extension,5 Bedroom,2000,5.0,2.0,240.0,11673
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1416,2.0,2.0,67.0,11526
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1145,2.0,2.0,46.0,5267
Built-up  Area,Ready To Move,Munnekollal,10 Bedroom,7200,10.0,3.0,200.0,11994
Built-up  Area,Ready To Move,Jigani,3 BHK,1231,3.0,2.0,58.0,9450
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1664,3.0,0.0,73.95,6047
Built-up  Area,Ready To Move,TC Palaya,3 Bedroom,2000,3.0,1.0,76.0,10776
Built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,972,2.0,2.0,43.0,5648
Built-up  Area,Ready To Move,3rd Phase JP Nagar,4 BHK,4500,4.0,3.0,345.0,10168
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1185,2.0,1.0,47.39,10396
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1750,3.0,2.0,81.0,4537
Built-up  Area,Ready To Move,Byadarahalli,3 BHK,3155,4.0,,316.0,9881
Super built-up  Area,18-Dec,Balagere,2 BHK,1007,2.0,1.0,68.0,14173
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1700,3.0,2.0,200.0,8426
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1250,2.0,2.0,85.0,10265
Super built-up  Area,Ready To Move,Telecom Layout,2 BHK,1200,2.0,1.0,54.0,10941
Super built-up  Area,18-Aug,Horamavu Agara,2 BHK,994,2.0,1.0,42.28,7157
Super built-up  Area,18-Apr,Ramamurthy Nagar,2 BHK,1150,2.0,2.0,40.0,10439
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1220,2.0,2.0,46.0,7385
Super built-up  Area,Ready To Move,Hennur Gardens,2 BHK,1441,2.0,1.0,115.0,13576
Super built-up  Area,19-Mar,Old Madras Road,2 BHK,1157,2.0,2.0,47.32,14230
Super built-up  Area,Ready To Move,RPC layout,6 BHK,1300,6.0,3.0,150.0,14922
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1400,2.0,2.0,105.0,5291
Built-up  Area,Ready To Move,Tindlu,3 BHK,1370.07,3.0,1.0,65.0,14757
Plot  Area,Ready To Move,Magadi Road,5 Bedroom,1200,4.0,1.0,130.0,9977
Super built-up  Area,20-Dec,Judicial Layout,2 BHK,900,2.0,1.0,40.0,6849
Super built-up  Area,Ready To Move,Kodipalya,1 BHK,418,1.0,1.0,17.0,5761
Plot  Area,Ready To Move,Vishwapriya Nagar,3 Bedroom,1200,3.0,1.0,80.0,9977
Built-up  Area,Ready To Move,ISRO Layout,2 BHK,1200,2.0,3.0,43.0,7152
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1062,2.0,1.0,42.48,7627
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1120,2.0,1.0,51.0,13998
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,1012,2.0,1.0,44.0,9791
Plot  Area,Ready To Move,Postal Colony,3 Bedroom,1500,2.0,1.0,200.0,4832
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,950,4.0,,180.0,7152
Super built-up  Area,Ready To Move,Kadabagere,2 BHK,675,2.0,2.0,13.5,12162
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,1430,2.0,2.0,78.0,13998
Super built-up  Area,Ready To Move,Channasandra,3 BHK,1195,2.0,1.0,56.0,8142
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2640,5.0,1.0,150.0,14230
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,42.0,6433
Super built-up  Area,18-Sep,Hennur Road,3 BHK,1550 - 1590,3.0,0.0,75.99,11099
Plot  Area,Ready To Move,Kammanahalli,6 Bedroom,782,4.0,2.0,85.0,4098
Built-up  Area,18-Feb,Sonnenahalli,2 BHK,1011,2.0,1.0,59.0,13435
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1450,2.0,1.0,102.0,5685
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1129,2.0,1.0,69.0,5899
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,1126,2.0,1.0,36.0,11989
Plot  Area,18-Dec,Attibele,3 Bedroom,1200,3.0,,110.0,10278
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1180,2.0,2.0,45.0,5899
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,600,4.0,2.0,125.0,8452
Plot  Area,18-Apr,Bannerghatta,4 Bedroom,940,4.0,2.0,45.0,13760
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1933,3.0,2.0,140.0,11099
Built-up  Area,Ready To Move,TC Palaya,2 BHK,1082,2.0,2.0,64.0,10776
Plot  Area,Ready To Move,LB Shastri Nagar,8 Bedroom,2400,8.0,1.0,250.0,4878
Super built-up  Area,19-Dec,Anwar Layout,1 BHK,610,1.0,0.0,28.0,9083
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,1560,4.0,1.0,160.0,9311
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,1300,3.0,3.0,77.99,9442
Built-up  Area,Ready To Move,Kudlu Gate,4 Bedroom,3850,6.0,0.0,205.0,12571
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1125,2.0,1.0,46.0,12392
Plot  Area,Ready To Move,Bileshivale,6 Bedroom,2400,7.0,2.0,107.0,12308
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,777.4,2.0,0.0,25.0,12006
Super built-up  Area,Ready To Move,Battarahalli,4 BHK,2500,3.0,1.0,65.0,5930
Super built-up  Area,Ready To Move,Old Airport Road,3 BHK,1798,3.0,,150.0,4466
Built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,1864,3.0,2.0,120.0,11408
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1115,2.0,1.0,51.91,10265
Super built-up  Area,Ready To Move,Kengeri,1 BHK,400,1.0,1.0,25.0,5184
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1200,2.0,1.0,70.0,8426
Super built-up  Area,18-May,Ananth Nagar,2 BHK,992,2.0,2.0,24.8,9315
Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,950,2.0,3.0,57.0,13111
Plot  Area,Ready To Move,R.T. Nagar,4 Bedroom,1500,4.0,3.0,185.0,12050
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1200,2.0,1.0,62.0,10396
Built-up  Area,Ready To Move,GM Palaya,3 BHK,1735,3.0,2.0,70.0,5693
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,1750,3.0,3.0,172.0,12924
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1009,2.0,2.0,56.0,5267
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,1470,2.0,3.0,102.0,8218
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1527,3.0,2.0,115.0,9791
Built-up  Area,Ready To Move,Singapura Village,2 BHK,985,2.0,1.0,45.0,11343
Built-up  Area,Ready To Move,Chandapura,4 Bedroom,3300,4.0,2.0,135.0,4161
Super built-up  Area,18-Jun,Whitefield,2 BHK,1277,2.0,1.0,77.0,10265
Super built-up  Area,18-May,Nallurhalli,2 BHK,1100,2.0,1.0,62.0,4717
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1820,3.0,2.0,140.0,10265
Super built-up  Area,Ready To Move,Puttanahalli,4 BHK,1530,3.0,3.0,87.0,10484
Super built-up  Area,Ready To Move,Banashankari,3 BHK,1886,3.0,2.0,205.0,6961
Plot  Area,Ready To Move,Chandra Layout,3 Bedroom,1200,2.0,0.0,190.0,9276
Super built-up  Area,Ready To Move,Jakkur,3 BHK,1880,4.0,2.0,110.0,5306
Super built-up  Area,Ready To Move,Hennur,2 BHK,1255,2.0,2.0,52.35,13925
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,36.0,13998
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,1140,2.0,2.0,46.0,7581
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,1025,2.0,1.0,29.6,11270
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,3453,4.0,2.0,247.0,10265
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1490,2.0,2.0,59.6,9390
Plot  Area,Ready To Move,Akshaya Vana,4 Bedroom,1200,4.0,2.0,165.0,7304
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1850,3.0,2.0,140.0,5899
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,1250,2.0,1.0,78.0,9177
Super built-up  Area,Ready To Move,Kamakya Layout,4 BHK,2400,3.0,1.0,108.0,6502
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3522,5.0,3.0,716.0,9172
Super built-up  Area,18-Dec,Jalahalli,2 BHK,1244,2.0,2.0,88.0,8218
Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,623,4.0,1.0,75.0,11215
Super built-up  Area,18-Dec,Kengeri Satellite Town,2 BHK,1025,2.0,1.0,28.57,12006
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1034,2.0,1.0,38.0,5899
Super built-up  Area,18-Jan,Kengeri Satellite Town,3 BHK,1191,2.0,2.0,33.34,12006
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1719,3.0,2.0,71.0,7073
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1035,2.0,1.0,39.33,5685
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,1500,3.0,2.0,230.0,9759
Super built-up  Area,18-Dec,Hosa Road,3 BHK,1470,2.0,2.0,84.22,4391
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1140,2.0,1.0,50.66,6047
Super built-up  Area,Ready To Move,Harlur,3 BHK,1752.12,3.0,2.0,125.0,12164
Plot  Area,Ready To Move,BTM 1st Stage,6 Bedroom,600,6.0,2.0,80.0,13907
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,4 Bedroom,600,3.0,1.0,84.0,9759
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2990,3.0,2.0,170.0,14230
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1660,3.0,2.0,85.0,9791
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1275,3.0,3.0,63.43,6558
Super built-up  Area,18-Jun,Bommasandra Industrial Area,3 BHK,1365,3.0,1.0,52.81,11208
Plot  Area,Ready To Move,"MEI layout, Bagalgunte",3 Bedroom,1200,2.0,0.0,90.0,14998
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2546,3.0,,170.0,13998
Super built-up  Area,20-Oct,Banashankari Stage VI,3 BHK,1392,3.0,1.0,69.46,14257
Super built-up  Area,18-Mar,Whitefield,2 BHK,1245,2.0,1.0,59.76,10265
Built-up  Area,Ready To Move,Rayasandra,5 Bedroom,1200,3.0,1.0,65.0,7343
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1162,2.0,2.0,64.08,9675
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1476,2.0,1.0,73.0,11526
Built-up  Area,Ready To Move,KR Puram,1 BHK,700,1.0,1.0,21.5,7556
Built-up  Area,Ready To Move,Gnana Bharathi,6 Bedroom,3600,6.0,1.0,170.0,4966
Built-up  Area,Ready To Move,Jigani,2 BHK,943,2.0,2.0,48.0,9450
Plot  Area,Ready To Move,Pai Layout,2 Bedroom,1150,2.0,1.0,170.0,7147
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1113,2.0,1.0,44.5,5899
Super built-up  Area,20-Dec,Varthur,3 BHK,1615,3.0,2.0,69.43,14233
Super built-up  Area,Ready To Move,Keshava Nagar,2 BHK,1279,2.0,3.0,100.0,9892
Super built-up  Area,Ready To Move,Kacharakanahalli,2 BHK,1256,2.0,1.0,60.0,10799
Built-up  Area,Ready To Move,Benson Town,3 BHK,1805,3.0,2.0,280.0,13827
Built-up  Area,Ready To Move,Sompura,3 BHK,1350,3.0,1.0,65.0,12004
Super built-up  Area,18-May,SRINIVASAPURA,3 BHK,1525,3.0,2.0,68.63,14188
Super built-up  Area,18-Aug,Rajaji Nagar,2 BHK,1357,2.0,1.0,123.0,8426
Super built-up  Area,19-Mar,Hebbal,3 BHK,1645,3.0,2.0,117.0,6747
Super built-up  Area,Ready To Move,Ardendale,3 BHK,1777.26,3.0,2.0,92.0,4854
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,845,2.0,2.0,32.0,6433
Built-up  Area,Ready To Move,Sidedahalli,2 BHK,900,2.0,0.0,25.0,10614
Super built-up  Area,18-Sep,Varthur,2 BHK,1210,2.0,1.0,64.15,14233
Super built-up  Area,19-Aug,Electronic City Phase II,2 BHK,829,2.0,1.0,22.8,11270
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1879,3.0,2.0,155.0,5899
Super built-up  Area,17-Jun,Hosur Road,3 BHK,1250,2.0,2.0,50.0,11125
Built-up  Area,Ready To Move,Jeevanhalli,4 Bedroom,1200,2.0,2.0,35.0,9954
Super built-up  Area,19-Mar,Marathahalli,3 BHK,1108,2.0,1.0,60.0,9578
Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,1401,3.0,2.0,69.0,13998
Super built-up  Area,19-Oct,Sarjapur  Road,3 BHK,1157,2.0,1.0,75.0,5899
Built-up  Area,Ready To Move,Ramamurthy Nagar Extension,2 BHK,1185,2.0,1.0,42.66,9984
